PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A
SBSP3,"43,28","11,51","1,21","1,532","0,92%",557,"32,03","6,55","-1,38","9,60","6,47","23,38%","13,31%","1,15","9,28%","10,49%","99.577.500,00","24.505.800.000,00","0,73","7,50%"
BBSE3,"22,80","11,59","6,26",0,"6,34%","3,425","0,00","9,25","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","54,02%","131.862.000,00","7.281.420.000,00","0,00","0,00%"
BSLI4,"19,53","11,67","2,73",0,"7,29%",0,"0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","23,36%","61.200,30","2.601.550.000,00","0,00","1,93%"
WLMM3,"30,01","11,70","2,06",631,"2,29%","1,678","4,39","9,65","5,56","8,23","7,96","6,54%","5,39%","4,65","24,33%","17,62%","73,20","530.316.000,00","0,01","35,45%"
CXSE3,"7,60","12,02","2,16",0,"3,22%","2,140","26,02","-327,76","26,06","-322,55","-322,70","0,00%","0,00%","10,21","-0,68%","17,96%","23.695.900,00","10.558.800.000,00","0,00","0,00%"
BEEF3,"11,86","12,03","11,01",267,"8,23%",359,"1,10","3,56","-1,28","6,58","5,62","7,49%","2,22%","1,90","22,35%","91,55%","74.932.600,00","654.131.000,00","20,49","19,50%"
MDIA3,"20,51","12,35","1,01",946,"9,49%",657,"2,16","20,08","7,07","19,99","11,07","4,71%","7,66%","3,20","4,30%","8,17%","44.676.000,00","6.893.860.000,00","0,27","8,53%"
SOJA3,"14,24","12,46","2,66","1,913","0,00%","1,681","3,41","11,85","3,82","10,99","10,82","16,14%","15,35%","2,57","21,82%","21,36%","5.697.700,00","626.668.000,00","0,20","0,00%"
CRFB3,"19,80","12,50","2,30",506,"4,58%",667,"22,31","8,75","-4,06","9,20","7,23","5,78%","4,33%","1,06","12,31%","18,41%","100.005.000,00","17.079.000.000,00","0,53","12,11%"
EVEN3,"5,97","12,63","0,71",579,"13,92%",216,"0,55","3,43","1,00","1,37","1,34","16,85%","6,34%","2,00","7,86%","5,59%","11.340.100,00","1.790.560.000,00","0,20","8,02%"
