PAPEL,COTACAO,P/L,P/VP,PSR,DIV_YIELD,P/ATIVO,P/CAP_GIRO,P/EBIT,P/ATIV_CIRC_LIQ,EV/EBIT,EV/EBITDA,MRG_EBIT,MRG_LIQ,LIQ_CORR,ROIC,ROE,LIQ_2MESES,PATRIM_LIQ,DIV_BRUT/PATRIM,CRESC_REC_5A,SETOR
NEOE3,15.54,4.81,0.79,437.0,0.0282,220.0,10.25,2.13,-0.47,5.85,4.77,0.20550000000000002,0.0942,1.09,0.1188,0.1643,15808400.0,23886000000.0,1.62,0.18489999999999998,Energia
CMIG4,12.73,5.23,1.06,699.0,0.0924,406.0,7.8,4.21,-1.1,5.81,4.85,0.16579999999999998,0.1336,1.26,0.10980000000000001,0.2034,99424700.0,20262200000.0,0.56,0.0989,Energia
ENGI4,7.15,5.33,1.48,507.0,0.1105,251.0,4.25,2.88,-0.47,6.57,5.14,0.17579999999999998,0.10460000000000001,1.28,0.1012,0.2784,180852.0,8748260000.0,2.4,0.1679,Energia
CEPE6,27.0,5.36,1.1,237.0,0.1009,155.0,3.71,1.81,-0.29,7.22,5.49,0.1309,0.044199999999999996,1.15,0.09849999999999999,0.2052,5094.83,1832000000.0,3.66,0.12050000000000001,Energia
CSRN3,17.0,5.36,1.89,790.0,0.12029999999999999,550.0,-25.51,3.93,-1.29,6.64,5.62,0.2011,0.1474,0.93,0.1545,0.35229999999999995,23325.7,1513000000.0,1.42,0.1257,Energia
CSRN5,17.0,5.36,1.89,790.0,0.1324,550.0,-25.51,3.93,-1.29,6.64,5.62,0.2011,0.1474,0.93,0.1545,0.35229999999999995,333.05,1513000000.0,1.42,0.1257,Energia
TRPL4,24.73,5.4,1.13,2.944,0.1125,562.0,6.47,4.12,-1.56,5.72,5.69,0.7142000000000001,0.5489,3.05,0.1422,0.2096,38597800.0,14399200000.0,0.52,0.1716,Energia
LAVV3,4.69,5.49,0.83,1.603,0.1494,558.0,1.25,5.69,1.53,2.98,2.97,0.28190000000000004,0.3353,3.17,0.1351,0.1509,4632960.0,1178130000.0,0.0,0.7731,Construção
CEEB3,34.99,5.49,1.48,643.0,0.17420000000000002,376.0,14.49,3.08,-0.73,6.69,5.45,0.2084,0.11699999999999999,1.13,0.1325,0.2702,18771.3,6176000000.0,1.85,0.1414,Energia
VBBR3,21.85,5.51,2.26,221.0,0.09269999999999999,861.0,2.79,8.09,-8.29,10.88,9.24,0.0273,0.0401,2.49,0.1283,0.4093,191952000.0,11287000000.0,0.96,0.0395,Petroleo
